,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
264,649103B,2013,Dubai International Cricket Stadium,Pakistan,South Africa,44,1,72,5,28,2,144,8,South Africa,bat,,South Africa
265,1187667A,2019,Saxton Oval,New Zealand,England,52,2,95,2,33,2,180,6,New Zealand,bat,Nelson,New Zealand
265,1187667B,2019,Saxton Oval,England,New Zealand,46,1,96,3,24,3,166,7,New Zealand,bat,Nelson,New Zealand
266,951369A,2016,Feroz Shah Kotla,New Zealand,England,51,1,82,2,20,5,153,8,England,field,Delhi,England
266,951369B,2016,Feroz Shah Kotla,England,New Zealand,67,0,64,2,28,0,159,2,England,field,Delhi,England
267,540174A,2012,"Kensington Oval, Bridgetown",West Indies,Australia,65,0,80,6,15,4,160,10,West Indies,bat,Barbados,West Indies
267,540174B,2012,"Kensington Oval, Bridgetown",Australia,West Indies,53,1,68,3,25,5,146,9,West Indies,bat,Barbados,West Indies
268,1040489A,2017,Greater Noida Sports Complex Ground,Afghanistan,Ireland,63,1,95,4,75,3,233,8,Ireland,field,Greater Noida,Afghanistan
268,1040489B,2017,Greater Noida Sports Complex Ground,Ireland,Afghanistan,91,1,85,3,29,5,205,9,Ireland,field,Greater Noida,Afghanistan
269,573019A,2013,Stadium Australia,Australia,Sri Lanka,31,1,75,2,31,0,137,3,Australia,bat,Sydney,Sri Lanka
269,573019B,2013,Stadium Australia,Sri Lanka,Australia,45,0,61,5,33,0,139,5,Australia,bat,Sydney,Sri Lanka
270,963697A,2016,Maharashtra Cricket Association Stadium,India,Sri Lanka,40,3,44,3,17,2,101,8,Sri Lanka,field,Pune,Sri Lanka
270,963697B,2016,Maharashtra Cricket Association Stadium,Sri Lanka,India,28,2,62,0,15,1,105,3,Sri Lanka,field,Pune,Sri Lanka
271,1198237A,2020,The Rose Bowl,England,Australia,33,1,83,3,29,2,145,6,Australia,field,Southampton,Australia
271,1198237B,2020,The Rose Bowl,Australia,England,61,1,65,4,20,0,146,5,Australia,field,Southampton,Australia
272,1217743A,2020,Terdthai Cricket Ground,Thailand,Hong Kong,31,3,32,4,14,0,77,7,Thailand,bat,Bangkok,Hong Kong
272,1217743B,2020,Terdthai Cricket Ground,Hong Kong,Thailand,52,2,26,0,0,0,78,2,Thailand,bat,Bangkok,Hong Kong
273,682925A,2014,Zahur Ahmed Chowdhury Stadium,England,New Zealand,55,1,75,4,42,1,172,6,New Zealand,field,Chattogram,New Zealand
273,682925B,2014,Zahur Ahmed Chowdhury Stadium,New Zealand,England,52,1,0,0,0,0,52,1,New Zealand,field,Chattogram,New Zealand
274,682931A,2014,Zahur Ahmed Chowdhury Stadium,South Africa,New Zealand,39,2,74,2,57,2,170,6,New Zealand,field,Chittagong,South Africa
274,682931B,2014,Zahur Ahmed Chowdhury Stadium,New Zealand,South Africa,47,0,93,3,28,5,168,8,New Zealand,field,Chittagong,South Africa
275,1336955A,2022,Sano International Cricket Ground,Japan,Indonesia,51,2,46,4,6,4,103,10,Japan,bat,Sano,Indonesia
275,1336955B,2022,Sano International Cricket Ground,Indonesia,Japan,29,1,62,3,13,0,104,4,Japan,bat,Sano,Indonesia
276,1215140A,2020,Kinrara Academy Oval,Hong Kong,Malaysia,52,1,85,2,34,4,171,7,Hong Kong,bat,Kuala Lumpur,Malaysia
276,1215140B,2020,Kinrara Academy Oval,Malaysia,Hong Kong,52,1,84,2,40,1,176,4,Hong Kong,bat,Kuala Lumpur,Malaysia
277,800481A,2016,New Wanderers Stadium,England,South Africa,47,1,103,2,21,7,171,10,South Africa,field,Johannesburg,South Africa
277,800481B,2016,New Wanderers Stadium,South Africa,England,88,0,84,1,0,0,172,1,South Africa,field,Johannesburg,South Africa
278,356015A,2009,Trent Bridge,Pakistan,South Africa,47,2,79,2,23,0,149,4,Pakistan,bat,Nottingham,Pakistan
278,356015B,2009,Trent Bridge,South Africa,Pakistan,40,1,65,2,37,2,142,5,Pakistan,bat,Nottingham,Pakistan
279,1256723A,2022,"Kensington Oval, Bridgetown, Barbados",England,West Indies,45,1,84,2,64,3,193,6,West Indies,field,Bridgetown,England
279,1256723B,2022,"Kensington Oval, Bridgetown, Barbados",West Indies,England,56,0,77,4,26,1,159,5,West Indies,field,Bridgetown,England
280,682919A,2014,Sylhet Stadium,Ireland,Netherlands,48,1,92,2,49,1,189,4,Netherlands,field,,Netherlands
280,682919B,2014,Sylhet Stadium,Netherlands,Ireland,91,1,102,3,0,0,193,4,Netherlands,field,,Netherlands
281,1168113A,2019,"Rajiv Gandhi International Cricket Stadium, Dehradun",Afghanistan,Ireland,64,0,142,0,72,3,278,3,Afghanistan,bat,Dehra Dun,Afghanistan
281,1168113B,2019,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,Afghanistan,69,0,81,5,44,0,194,5,Afghanistan,bat,Dehra Dun,Afghanistan
282,356001A,2009,Trent Bridge,Ireland,India,28,3,60,4,24,1,112,8,India,field,Nottingham,India
282,356001B,2009,Trent Bridge,India,Ireland,45,0,68,2,0,0,113,2,India,field,Nottingham,India
283,1256721A,2022,"Kensington Oval, Bridgetown, Barbados",England,West Indies,40,2,88,3,43,3,171,8,West Indies,field,Bridgetown,England
283,1256721B,2022,"Kensington Oval, Bridgetown, Barbados",West Indies,England,33,1,70,4,67,0,170,5,West Indies,field,Bridgetown,England
284,356017A,2009,Lord's,Sri Lanka,Pakistan,34,4,54,2,50,0,138,6,Sri Lanka,bat,London,Pakistan
284,356017B,2009,Lord's,Pakistan,Sri Lanka,39,0,67,2,33,0,139,2,Sri Lanka,bat,London,Pakistan
285,356003A,2009,Trent Bridge,New Zealand,Ireland,52,1,102,1,44,2,198,4,Ireland,field,Nottingham,New Zealand
285,356003B,2009,Trent Bridge,Ireland,New Zealand,42,2,70,6,3,1,115,9,Ireland,field,Nottingham,New Zealand
286,682927A,2014,Shere Bangla National Stadium,Pakistan,Australia,36,2,112,2,43,1,191,5,Australia,field,Mirpur,Pakistan
286,682927B,2014,Shere Bangla National Stadium,Australia,Pakistan,57,2,96,2,22,6,175,10,Australia,field,Mirpur,Pakistan
287,1217741A,2020,Terdthai Cricket Ground,Thailand,Malaysia,13,3,59,2,13,4,85,9,Thailand,bat,Bangkok,Malaysia
287,1217741B,2020,Terdthai Cricket Ground,Malaysia,Thailand,33,0,53,2,0,0,86,2,Thailand,bat,Bangkok,Malaysia
288,682933A,2014,Zahur Ahmed Chowdhury Stadium,Netherlands,Sri Lanka,15,3,24,4,0,0,39,7,Sri Lanka,field,Chittagong,Sri Lanka
288,682933B,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Netherlands,40,1,0,0,0,0,40,1,Sri Lanka,field,Chittagong,Sri Lanka
289,573027A,2013,"Brisbane Cricket Ground, Woolloongabba",West Indies,Australia,43,1,96,2,52,3,191,6,West Indies,bat,Brisbane,West Indies
289,573027B,2013,"Brisbane Cricket Ground, Woolloongabba",Australia,West Indies,51,1,85,4,28,3,164,8,West Indies,bat,Brisbane,West Indies
290,1198235A,2020,The Rose Bowl,England,Australia,55,1,67,4,40,2,162,7,Australia,field,Southampton,England
290,1198235B,2020,The Rose Bowl,Australia,England,55,0,78,4,27,2,160,6,Australia,field,Southampton,England
291,1141232A,2018,Lord's,West Indies,ICC World XI,51,0,98,2,50,1,199,3,ICC World XI,field,London,West Indies
291,1141232B,2018,Lord's,ICC World XI,West Indies,30,3,94,2,3,1,127,6,ICC World XI,field,London,West Indies
292,1310947A,2022,Harare Sports Club,Afghanistan,Zimbabwe,51,4,69,1,50,1,170,6,Afghanistan,bat,Harare,Afghanistan
292,1310947B,2022,Harare Sports Club,Zimbabwe,Afghanistan,38,0,86,2,25,4,149,6,Afghanistan,bat,Harare,Afghanistan
293,1273748A,2021,Dubai International Cricket Stadium,Scotland,India,27,2,54,2,4,4,85,8,India,field,Dubai,India
293,1273748B,2021,Dubai International Cricket Stadium,India,Scotland,82,1,7,0,0,0,89,1,India,field,Dubai,India
294,287855A,2007,Kingsmead,Pakistan,Scotland,38,2,86,4,47,3,171,9,Scotland,field,Durban,Pakistan
294,287855B,2007,Kingsmead,Scotland,Pakistan,40,2,59,5,21,3,120,10,Scotland,field,Durban,Pakistan
295,1187665A,2019,Hagley Oval,New Zealand,England,39,2,77,2,37,1,153,5,England,field,Christchurch,England
295,1187665B,2019,Hagley Oval,England,New Zealand,42,1,81,2,31,0,154,3,England,field,Christchurch,England
296,649101A,2013,Dubai International Cricket Stadium,Pakistan,South Africa,18,3,56,4,24,2,98,9,Pakistan,bat,,South Africa
296,649101B,2013,Dubai International Cricket Stadium,South Africa,Pakistan,39,1,60,0,0,0,99,1,Pakistan,bat,,South Africa
297,1321998A,2022,"UKM-YSD Cricket Oval, Bangi",Malaysia,Bhutan,56,0,109,2,48,2,213,4,Bhutan,field,Bangi,Malaysia
297,1321998B,2022,"UKM-YSD Cricket Oval, Bangi",Bhutan,Malaysia,26,0,25,5,7,2,58,7,Bhutan,field,Bangi,Malaysia
298,995467A,2016,Pallekele International Cricket Stadium,Australia,Sri Lanka,73,1,122,1,68,1,263,3,Sri Lanka,field,,Australia
298,995467B,2016,Pallekele International Cricket Stadium,Sri Lanka,Australia,56,3,86,4,36,2,178,9,Sri Lanka,field,,Australia
299,951343A,2016,Wankhede Stadium,South Africa,Afghanistan,66,1,72,2,71,2,209,5,South Africa,bat,Mumbai,South Africa
299,951343B,2016,Wankhede Stadium,Afghanistan,South Africa,64,2,82,3,26,5,172,10,South Africa,bat,Mumbai,South Africa
300,287869A,2007,Kingsmead,New Zealand,England,31,3,103,1,30,4,164,8,England,field,Durban,New Zealand
300,287869B,2007,Kingsmead,England,New Zealand,50,0,76,5,33,3,159,8,England,field,Durban,New Zealand
301,1119501A,2017,JSCA International Stadium Complex,Australia,India,49,1,50,4,19,3,118,8,India,field,Ranchi,India
301,1119501B,2017,JSCA International Stadium Complex,India,Australia,49,1,0,0,0,0,49,1,India,field,Ranchi,India
302,951357A,2016,"Vidarbha Cricket Association Stadium, Jamtha",South Africa,West Indies,39,3,59,3,24,2,122,8,West Indies,field,Nagpur,West Indies
302,951357B,2016,"Vidarbha Cricket Association Stadium, Jamtha",West Indies,South Africa,37,2,62,2,24,3,123,7,West Indies,field,Nagpur,West Indies
303,1237122A,2020,Newlands,South Africa,England,57,1,82,2,40,3,179,6,England,field,Cape Town,England
303,1237122B,2020,Newlands,England,South Africa,34,3,95,1,54,1,183,5,England,field,Cape Town,England
304,958415A,2016,Sheikh Abu Naser Stadium,Zimbabwe,Bangladesh,47,0,95,2,21,5,163,7,Zimbabwe,bat,Khulna,Bangladesh
304,958415B,2016,Sheikh Abu Naser Stadium,Bangladesh,Zimbabwe,54,1,72,4,40,1,166,6,Zimbabwe,bat,Khulna,Bangladesh
305,1144174A,2019,The Wanderers Stadium,South Africa,Sri Lanka,38,1,104,1,56,0,198,2,Sri Lanka,field,Johannesburg,South Africa
305,1144174B,2019,The Wanderers Stadium,Sri Lanka,South Africa,61,1,76,7,0,0,137,8,Sri Lanka,field,Johannesburg,South Africa
306,1142505A,2018,VRA Ground,Netherlands,Scotland,62,1,70,1,28,4,160,6,Netherlands,bat,Amstelveen,Scotland
306,1142505B,2018,VRA Ground,Scotland,Netherlands,74,1,73,2,14,0,161,3,Netherlands,bat,Amstelveen,Scotland
307,401076A,2009,"Warner Park, Basseterre",Bangladesh,West Indies,43,4,49,3,26,1,118,8,Bangladesh,bat,St Kitts,West Indies
307,401076B,2009,"Warner Park, Basseterre",West Indies,Bangladesh,46,1,68,3,5,0,119,4,Bangladesh,bat,St Kitts,West Indies
308,1298138A,2022,"Bellerive Oval, Hobart",Zimbabwe,Ireland,41,3,96,2,37,2,174,7,Ireland,field,Hobart,Zimbabwe
308,1298138B,2022,"Bellerive Oval, Hobart",Ireland,Zimbabwe,33,4,78,5,32,0,143,9,Ireland,field,Hobart,Zimbabwe
309,1214670A,2020,"Shere Bangla National Stadium, Mirpur",Bangladesh,Zimbabwe,59,0,88,2,53,0,200,2,Zimbabwe,field,Dhaka,Bangladesh
309,1214670B,2020,"Shere Bangla National Stadium, Mirpur",Zimbabwe,Bangladesh,38,2,90,5,24,2,152,9,Zimbabwe,field,Dhaka,Bangladesh
310,426393A,2010,Edgbaston,Pakistan,Australia,50,0,75,3,37,5,162,8,Pakistan,bat,Birmingham,Pakistan
310,426393B,2010,Edgbaston,Australia,Pakistan,47,2,73,3,31,2,151,7,Pakistan,bat,Birmingham,Pakistan
311,546473A,2012,Dubai International Cricket Stadium,Canada,Scotland,43,2,58,3,34,1,135,6,Canada,bat,,Scotland
311,546473B,2012,Dubai International Cricket Stadium,Scotland,Canada,34,2,76,2,26,1,136,5,Canada,bat,,Scotland
312,1299568A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,34,2,66,2,57,1,157,5,United Arab Emirates,bat,Al Amarat,United Arab Emirates
312,1299568B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,50,0,61,6,28,2,139,8,United Arab Emirates,bat,Al Amarat,United Arab Emirates
313,1327279A,2022,Dubai International Cricket Stadium,India,Afghanistan,52,0,93,2,67,0,212,2,Afghanistan,field,Dubai,India
313,1327279B,2022,Dubai International Cricket Stadium,Afghanistan,India,21,2,52,2,38,1,111,5,Afghanistan,field,Dubai,India
314,1299583A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Philippines,Germany,50,0,29,4,30,1,109,5,Germany,field,Al Amarat,Germany
314,1299583B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Germany,Philippines,39,0,76,0,0,0,115,0,Germany,field,Al Amarat,Germany
315,1257946A,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,Malaysia,45,1,98,0,48,0,191,1,Netherlands,bat,Kirtipur,Netherlands
315,1257946B,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,Netherlands,56,3,79,4,41,1,176,8,Netherlands,bat,Kirtipur,Netherlands
316,463142A,2010,De Beers Diamond Oval,South Africa,Zimbabwe,57,2,84,1,53,3,194,6,South Africa,bat,Kimberley,South Africa
316,463142B,2010,De Beers Diamond Oval,Zimbabwe,South Africa,45,1,101,2,40,4,186,7,South Africa,bat,Kimberley,South Africa
317,1199507A,2019,Sheikh Zayed Stadium,Ireland,United Arab Emirates,41,1,52,3,32,5,125,9,United Arab Emirates,field,Abu Dhabi,United Arab Emirates
317,1199507B,2019,Sheikh Zayed Stadium,United Arab Emirates,Ireland,53,1,69,4,7,0,129,5,United Arab Emirates,field,Abu Dhabi,United Arab Emirates
318,1275271A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,Malta,32,4,63,1,17,2,112,7,Bulgaria,bat,Ilfov County,Malta
318,1275271B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,Bulgaria,44,2,69,1,0,0,113,3,Bulgaria,bat,Ilfov County,Malta
319,1199513A,2019,Sheikh Zayed Stadium,Hong Kong,United Arab Emirates,35,0,60,3,21,2,116,5,Hong Kong,bat,Abu Dhabi,United Arab Emirates
319,1199513B,2019,Sheikh Zayed Stadium,United Arab Emirates,Hong Kong,44,1,74,1,0,0,118,2,Hong Kong,bat,Abu Dhabi,United Arab Emirates
320,1310172A,2022,Marsa Sports Club,Gibraltar,Hungary,47,2,59,3,31,2,137,7,Hungary,field,Marsa,Hungary
320,1310172B,2022,Marsa Sports Club,Hungary,Gibraltar,42,1,66,3,30,2,138,6,Hungary,field,Marsa,Hungary
321,1192877A,2019,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,36,1,65,4,24,2,125,7,Sri Lanka,bat,Kandy,Sri Lanka
321,1192877B,2019,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,31,3,57,3,0,0,88,6,Sri Lanka,bat,Kandy,Sri Lanka
322,319112A,2007,St George's Park,South Africa,West Indies,16,5,42,1,0,0,58,6,West Indies,field,Port Elizabeth,West Indies
322,319112B,2007,St George's Park,West Indies,South Africa,41,5,19,0,0,0,60,5,West Indies,field,Port Elizabeth,West Indies
323,1233973A,2021,Westpac Stadium,Australia,New Zealand,47,1,106,2,55,1,208,4,New Zealand,field,Wellington,Australia
323,1233973B,2021,Westpac Stadium,New Zealand,Australia,59,1,73,5,12,2,144,8,New Zealand,field,Wellington,Australia
324,1310166A,2022,"Desert Springs Cricket Ground, Almeria",Spain,Norway,30,1,63,3,32,4,125,8,Spain,bat,Almeria,Spain
324,1310166B,2022,"Desert Springs Cricket Ground, Almeria",Norway,Spain,18,2,44,6,22,2,84,10,Spain,bat,Almeria,Spain
325,1283040A,2021,Gahanga International Cricket Stadium. Rwanda,Malawi,Rwanda,31,1,69,0,39,1,139,2,Malawi,bat,Kigali City,Malawi
325,1283040B,2021,Gahanga International Cricket Stadium. Rwanda,Rwanda,Malawi,37,3,52,5,26,2,115,10,Malawi,bat,Kigali City,Malawi
326,1140070A,2018,National Stadium,Pakistan,West Indies,54,1,102,1,49,1,205,3,Pakistan,bat,Karachi,Pakistan
326,1140070B,2018,National Stadium,West Indies,Pakistan,30,1,65,4,28,5,123,10,Pakistan,bat,Karachi,Pakistan
327,630951A,2013,Wanderers Cricket Ground,Netherlands,Kenya,50,0,102,2,20,3,172,5,Netherlands,bat,Windhoek,Kenya
327,630951B,2013,Wanderers Cricket Ground,Kenya,Netherlands,35,2,89,1,52,2,176,5,Netherlands,bat,Windhoek,Kenya
328,1267304A,2021,"National Sports Academy, Sofia",Greece,Romania,44,4,93,1,20,2,157,7,Greece,bat,Sofia,Romania
328,1267304B,2021,"National Sports Academy, Sofia",Romania,Greece,83,2,76,5,0,0,159,7,Greece,bat,Sofia,Romania
329,1323552A,2022,Lisicji Jarak Cricket Ground,Bulgaria,Serbia,31,3,128,1,47,1,206,5,Serbia,field,Belgrade,Bulgaria
329,1323552B,2022,Lisicji Jarak Cricket Ground,Serbia,Bulgaria,48,3,47,4,16,1,111,8,Serbia,field,Belgrade,Bulgaria
330,1140071A,2018,National Stadium,West Indies,Pakistan,29,1,70,3,54,1,153,5,West Indies,bat,Karachi,Pakistan
330,1140071B,2018,National Stadium,Pakistan,West Indies,62,1,77,1,15,0,154,2,West Indies,bat,Karachi,Pakistan
331,1267310A,2021,"National Sports Academy, Sofia",Serbia,Romania,32,0,58,3,25,4,115,7,Serbia,bat,Sofia,Romania
331,1267310B,2021,"National Sports Academy, Sofia",Romania,Serbia,116,0,0,0,0,0,116,0,Serbia,bat,Sofia,Romania
332,1188621A,2019,Central Broward Regional Park Stadium Turf Ground,West Indies,India,33,5,37,2,25,1,95,8,India,field,Lauderhill,India
332,1188621B,2019,Central Broward Regional Park Stadium Turf Ground,India,West Indies,31,0,57,5,10,0,98,5,India,field,Lauderhill,India
333,889463A,2015,"Bready Cricket Club, Magheramason",Ireland,Scotland,36,2,93,3,37,1,166,6,Scotland,field,Londonderry,Scotland
333,889463B,2015,"Bready Cricket Club, Magheramason",Scotland,Ireland,58,1,85,3,24,0,167,4,Scotland,field,Londonderry,Scotland
334,1283041A,2021,Integrated Polytechnic Regional Centre,Uganda,Seychelles,41,1,77,2,46,2,164,5,Uganda,bat,Kigali City,Uganda
334,1283041B,2021,Integrated Polytechnic Regional Centre,Seychelles,Uganda,18,2,44,2,7,4,69,8,Uganda,bat,Kigali City,Uganda
335,1233972A,2021,University Oval,New Zealand,Australia,45,1,130,2,44,4,219,7,Australia,field,Dunedin,New Zealand
335,1233972B,2021,University Oval,Australia,New Zealand,53,1,114,5,48,2,215,8,Australia,field,Dunedin,New Zealand
336,1286677A,2021,"Coolidge Cricket Ground, Antigua",Bermuda,Bahamas,61,0,139,1,39,5,239,6,Bahamas,field,Coolidge,Bermuda
336,1286677B,2021,"Coolidge Cricket Ground, Antigua",Bahamas,Bermuda,22,3,52,2,25,2,99,7,Bahamas,field,Coolidge,Bermuda
337,1310167A,2022,"Svanholm Park, Brondby",Denmark,Finland,41,0,55,4,41,3,137,7,Finland,field,Brondby,Finland
337,1310167B,2022,"Svanholm Park, Brondby",Finland,Denmark,29,0,75,3,38,3,142,6,Finland,field,Brondby,Finland
338,1192876A,2019,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,38,1,86,2,37,4,161,7,Sri Lanka,bat,Kandy,New Zealand
338,1192876B,2019,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,59,1,74,0,32,3,165,4,Sri Lanka,bat,Kandy,New Zealand
339,1310173A,2022,Marsa Sports Club,Romania,Malta,55,1,70,2,40,1,165,4,Malta,field,Marsa,Malta
339,1310173B,2022,Marsa Sports Club,Malta,Romania,44,0,84,4,38,1,166,5,Malta,field,Marsa,Malta
340,1199512A,2019,ICC Academy,Scotland,Papua New Guinea,42,1,61,2,43,2,146,5,Scotland,bat,Dubai,Scotland
340,1199512B,2019,ICC Academy,Papua New Guinea,Scotland,34,1,74,5,34,3,142,9,Scotland,bat,Dubai,Scotland
341,1188379A,2019,Hazelaarweg,Netherlands,Zimbabwe,70,1,70,4,59,1,199,6,Zimbabwe,field,Rotterdam,Netherlands
341,1188379B,2019,Hazelaarweg,Zimbabwe,Netherlands,53,1,65,5,32,3,150,9,Zimbabwe,field,Rotterdam,Netherlands
342,953347A,2016,Sharjah Cricket Stadium,Afghanistan,Zimbabwe,43,0,124,4,48,2,215,6,Zimbabwe,field,,Afghanistan
342,953347B,2016,Sharjah Cricket Stadium,Zimbabwe,Afghanistan,34,4,85,2,15,3,134,9,Zimbabwe,field,,Afghanistan
343,1275270A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,Czech Republic,52,0,83,3,30,3,165,6,Czech Republic,field,Ilfov County,Hungary
343,1275270B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Czech Republic,Hungary,34,2,80,1,46,4,160,7,Czech Republic,field,Ilfov County,Hungary
344,1199506A,2019,ICC Academy Ground No 2,Scotland,Kenya,43,2,79,3,48,1,170,6,Scotland,bat,Dubai,Scotland
344,1199506B,2019,ICC Academy Ground No 2,Kenya,Scotland,43,0,77,4,19,4,139,8,Scotland,bat,Dubai,Scotland
345,1257947A,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,Nepal,44,2,63,7,2,0,109,9,Nepal,field,Kirtipur,Nepal
345,1257947B,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,Malaysia,70,0,43,1,0,0,113,1,Nepal,field,Kirtipur,Nepal
346,1299596A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Nepal,35,3,64,4,28,3,127,10,Nepal,field,Al Amarat,Ireland
346,1299596B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Ireland,40,2,46,2,25,4,111,8,Nepal,field,Al Amarat,Ireland
347,1299582A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Canada,40,3,63,2,28,3,131,8,Bahrain,bat,Al Amarat,Canada
347,1299582B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Bahrain,41,0,91,2,0,0,132,2,Bahrain,bat,Al Amarat,Canada
348,1327278A,2022,Sharjah Cricket Stadium,Afghanistan,Pakistan,48,2,56,3,25,1,129,6,Pakistan,field,Sharjah,Pakistan
348,1327278B,2022,Sharjah Cricket Stadium,Pakistan,Afghanistan,35,1,56,1,40,4,131,6,Pakistan,field,Sharjah,Pakistan
349,884351A,2016,Newlands,South Africa,Australia,68,1,63,2,47,1,178,4,South Africa,bat,Cape Town,Australia
349,884351B,2016,Newlands,Australia,South Africa,51,0,96,2,34,2,181,4,South Africa,bat,Cape Town,Australia
350,1299569A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Germany,Bahrain,39,0,65,5,2,2,106,7,Bahrain,field,Al Amarat,Bahrain
350,1299569B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Germany,33,2,74,1,0,0,107,3,Bahrain,field,Al Amarat,Bahrain
351,426392A,2010,Edgbaston,Pakistan,Australia,43,1,94,3,30,3,167,7,Pakistan,bat,Birmingham,Pakistan
351,426392B,2010,Edgbaston,Australia,Pakistan,56,1,66,3,22,5,144,9,Pakistan,bat,Birmingham,Pakistan
352,1288316A,2022,"Gaddafi Stadium, Lahore",Pakistan,Australia,56,0,65,4,41,4,162,8,Australia,field,Lahore,Australia
352,1288316B,2022,"Gaddafi Stadium, Lahore",Australia,Pakistan,63,1,80,4,20,2,163,7,Australia,field,Lahore,Australia
353,1214671A,2020,"Shere Bangla National Stadium, Mirpur",Zimbabwe,Bangladesh,31,1,66,3,22,3,119,7,Bangladesh,field,Dhaka,Bangladesh
353,1214671B,2020,"Shere Bangla National Stadium, Mirpur",Bangladesh,Zimbabwe,44,0,76,1,0,0,120,1,Bangladesh,field,Dhaka,Bangladesh
354,352674A,2009,"Queen's Park Oval, Port of Spain",England,West Indies,47,1,65,4,9,4,121,9,West Indies,field,Trinidad,West Indies
354,352674B,2009,"Queen's Park Oval, Port of Spain",West Indies,England,51,2,59,1,13,1,123,4,West Indies,field,Trinidad,West Indies
355,1298139A,2022,"GMHBA Stadium, South Geelong, Victoria",Namibia,Netherlands,33,3,54,1,34,2,121,6,Namibia,bat,Geelong,Netherlands
355,1298139B,2022,"GMHBA Stadium, South Geelong, Victoria",Netherlands,Namibia,51,0,51,4,20,1,122,5,Namibia,bat,Geelong,Netherlands
356,1202007A,2019,Kinrara Academy Oval,Vanuatu,Malaysia,50,0,66,4,35,0,151,4,Vanuatu,bat,Kuala Lumpur,Vanuatu
356,1202007B,2019,Kinrara Academy Oval,Malaysia,Vanuatu,36,2,72,4,26,2,134,8,Vanuatu,bat,Kuala Lumpur,Vanuatu
357,1237123A,2020,Boland Park,South Africa,England,50,2,58,3,38,1,146,6,England,field,Paarl,England
357,1237123B,2020,Boland Park,England,South Africa,41,1,66,3,40,2,147,6,England,field,Paarl,England
358,1144161A,2019,Newlands,South Africa,Pakistan,48,1,110,2,34,3,192,6,Pakistan,field,Cape Town,South Africa
358,1144161B,2019,Newlands,Pakistan,South Africa,58,1,86,4,42,4,186,9,Pakistan,field,Cape Town,South Africa
359,287868A,2007,New Wanderers Stadium,Pakistan,Sri Lanka,33,3,114,1,42,2,189,6,Sri Lanka,field,Johannesburg,Pakistan
359,287868B,2007,New Wanderers Stadium,Sri Lanka,Pakistan,49,3,70,4,37,2,156,9,Sri Lanka,field,Johannesburg,Pakistan
360,1191006A,2019,VRA Ground,Netherlands,United Arab Emirates,42,2,68,2,26,4,136,8,United Arab Emirates,field,Amstelveen,United Arab Emirates
360,1191006B,2019,VRA Ground,United Arab Emirates,Netherlands,55,2,58,1,27,2,140,5,United Arab Emirates,field,Amstelveen,United Arab Emirates
361,1144149A,2018,Buffalo Park,South Africa,Zimbabwe,52,2,72,1,36,3,160,6,South Africa,bat,East London,South Africa
361,1144149B,2018,Buffalo Park,Zimbabwe,South Africa,31,2,92,4,3,2,126,8,South Africa,bat,East London,South Africa
362,287854A,2007,Kingsmead,Kenya,New Zealand,23,3,47,4,3,2,73,9,New Zealand,field,Durban,New Zealand
362,287854B,2007,Kingsmead,New Zealand,Kenya,49,1,25,0,0,0,74,1,New Zealand,field,Durban,New Zealand
363,1273749A,2021,"Zayed Cricket Stadium, Abu Dhabi",West Indies,Australia,50,3,59,2,48,2,157,7,Australia,field,Abu Dhabi,Australia
363,1273749B,2021,"Zayed Cricket Stadium, Abu Dhabi",Australia,West Indies,53,1,104,1,4,0,161,2,Australia,field,Abu Dhabi,Australia
