,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
1366,951365A,2016,"Vidarbha Cricket Association Stadium, Jamtha",Afghanistan,West Indies,33,2,56,3,34,2,123,7,West Indies,field,Nagpur,Afghanistan
1366,951365B,2016,"Vidarbha Cricket Association Stadium, Jamtha",West Indies,Afghanistan,34,2,55,2,28,3,117,7,West Indies,field,Nagpur,Afghanistan
1367,1273752A,2021,Sharjah Cricket Stadium,Pakistan,Scotland,35,0,89,2,65,1,189,3,Pakistan,bat,Sharjah,Pakistan
1367,1273752B,2021,Sharjah Cricket Stadium,Scotland,Pakistan,24,1,63,4,30,1,117,6,Pakistan,bat,Sharjah,Pakistan
1368,1273746A,2021,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,West Indies,48,1,89,1,52,1,189,3,West Indies,field,Abu Dhabi,Sri Lanka
1368,1273746B,2021,"Zayed Cricket Stadium, Abu Dhabi",West Indies,Sri Lanka,52,3,72,4,45,1,169,8,West Indies,field,Abu Dhabi,Sri Lanka
1369,661697A,2014,Westpac Stadium,West Indies,New Zealand,37,2,83,2,39,1,159,5,West Indies,bat,Wellington,New Zealand
1369,661697B,2014,Westpac Stadium,New Zealand,West Indies,53,2,77,2,33,1,163,5,West Indies,bat,Wellington,New Zealand
1370,951371A,2016,Wankhede Stadium,India,West Indies,55,0,78,1,59,0,192,1,West Indies,field,Mumbai,West Indies
1370,951371B,2016,Wankhede Stadium,West Indies,India,44,2,107,1,45,0,196,3,West Indies,field,Mumbai,West Indies
1371,1213059A,2020,Gaddafi Stadium,Bangladesh,Pakistan,33,2,69,1,34,2,136,5,Bangladesh,bat,Lahore,Pakistan
1371,1213059B,2020,Gaddafi Stadium,Pakistan,Bangladesh,36,1,98,0,3,0,137,1,Bangladesh,bat,Lahore,Pakistan
1372,1282740A,2021,"Desert Springs Cricket Ground, Almeria",Denmark,Germany,28,2,51,3,31,1,110,6,Denmark,bat,Almeria,Germany
