,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
204,1202011B,2019,Kinrara Academy Oval,Vanuatu,Malaysia,77,1,67,3,40,5,184,9,Malaysia,bat,Kuala Lumpur,Malaysia,Vanuatu tour of Malaysia
205,546470A,2012,Dubai International Cricket Stadium,Netherlands,Ireland,27,2,64,0,23,4,114,6,Ireland,field,,Ireland,ICC World Twenty20 Qualifier
205,546470B,2012,Dubai International Cricket Stadium,Ireland,Netherlands,52,1,55,1,8,0,115,2,Ireland,field,,Ireland,ICC World Twenty20 Qualifier
206,1299594A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Ireland,44,2,66,5,27,3,137,10,Ireland,field,Al Amarat,Ireland,Oman Quadrangular T20I Series
206,1299594B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Oman,47,0,83,1,10,0,140,1,Ireland,field,Al Amarat,Ireland,Oman Quadrangular T20I Series
207,1257945A,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,Nepal,23,0,68,1,45,1,136,2,Nepal,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series
207,1257945B,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,Netherlands,66,0,75,1,0,0,141,1,Nepal,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series
208,463141A,2010,OUTsurance Oval,Zimbabwe,South Africa,30,0,83,1,55,2,168,3,Zimbabwe,bat,Bloemfontein,South Africa,Zimbabwe in South Africa T20I Series
208,463141B,2010,OUTsurance Oval,South Africa,Zimbabwe,78,0,91,2,0,0,169,2,Zimbabwe,bat,Bloemfontein,South Africa,Zimbabwe in South Africa T20I Series
209,884347A,2016,Kingsmead,Australia,South Africa,69,1,49,5,39,2,157,8,Australia,bat,Durban,South Africa,Australia in South Africa T20I Series
209,884347B,2016,Kingsmead,South Africa,Australia,45,3,84,3,29,1,158,7,Australia,bat,Durban,South Africa,Australia in South Africa T20I Series
210,1327508A,2022,"Holkar Cricket Stadium, Indore",South Africa,India,48,1,121,1,58,1,227,3,India,field,Indore,South Africa,South Africa tour of India
210,1327508B,2022,"Holkar Cricket Stadium, Indore",India,South Africa,64,2,95,5,19,2,178,9,India,field,Indore,South Africa,South Africa tour of India
211,1257951A,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,Netherlands,56,1,113,2,69,0,238,3,Netherlands,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series
211,1257951B,2021,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,Nepal,37,4,54,4,5,1,96,9,Netherlands,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series
212,1199538A,2019,Sheikh Zayed Stadium,Jersey,Oman,51,0,57,4,33,2,141,6,Oman,field,Abu Dhabi,Jersey,ICC Men's T20 World Cup Qualifier
212,1199538B,2019,Sheikh Zayed Stadium,Oman,Jersey,32,2,67,2,28,4,127,8,Oman,field,Abu Dhabi,Jersey,ICC Men's T20 World Cup Qualifier
213,1299580A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Nepal,58,1,78,1,39,5,175,7,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ICC Men's T20 World Cup Qualifier A
