,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
655,238195B,2006,New Wanderers Stadium,Australia,South Africa,53,1,102,3,44,1,199,5,South Africa,bat,Johannesburg,South Africa,
656,1323297A,2022,Harare Sports Club,Zimbabwe,Bangladesh,45,3,75,3,36,2,156,8,Zimbabwe,bat,Harare,Zimbabwe,Bangladesh tour of Zimbabwe
656,1323297B,2022,Harare Sports Club,Bangladesh,Zimbabwe,45,3,66,3,35,2,146,8,Zimbabwe,bat,Harare,Zimbabwe,Bangladesh tour of Zimbabwe
657,1321480A,2022,Bulawayo Athletic Club,United States of America,Netherlands,60,1,51,6,27,3,138,10,United States of America,bat,Bulawayo,Netherlands,ICC Men's T20 World Cup Qualifier
657,1321480B,2022,Bulawayo Athletic Club,Netherlands,United States of America,53,1,69,2,17,0,139,3,United States of America,bat,Bulawayo,Netherlands,ICC Men's T20 World Cup Qualifier
658,1283035A,2021,Gahanga International Cricket Stadium. Rwanda,Swaziland,Seychelles,46,3,82,4,0,0,128,7,Swaziland,bat,Kigali City,Seychelles,ICC Men's T20 World Cup Sub Regional Africa Qualifier
658,1283035B,2021,Gahanga International Cricket Stadium. Rwanda,Seychelles,Swaziland,44,3,86,0,0,0,130,3,Swaziland,bat,Kigali City,Seychelles,ICC Men's T20 World Cup Sub Regional Africa Qualifier
659,300436A,2008,Jade Stadium,England,New Zealand,67,1,72,2,54,4,193,7,England,bat,Christchurch,England,England in New Zealand T20I Series
659,300436B,2008,Jade Stadium,New Zealand,England,42,3,67,4,34,1,143,8,England,bat,Christchurch,England,England in New Zealand T20I Series
660,1198491A,2019,Gaddafi Stadium,Sri Lanka,Pakistan,44,2,67,1,36,3,147,6,Sri Lanka,bat,Lahore,Sri Lanka,Sri Lanka tour of Pakistan
660,1198491B,2019,Gaddafi Stadium,Pakistan,Sri Lanka,35,1,62,2,37,3,134,6,Sri Lanka,bat,Lahore,Sri Lanka,Sri Lanka tour of Pakistan
661,817203A,2015,Shere Bangla National Stadium,South Africa,Bangladesh,37,2,72,1,39,0,148,3,South Africa,bat,Mirpur,South Africa,South Africa in Bangladesh T20I Series
661,817203B,2015,Shere Bangla National Stadium,Bangladesh,South Africa,37,2,52,5,7,3,96,10,South Africa,bat,Mirpur,South Africa,South Africa in Bangladesh T20I Series
662,1327230A,2022,"National Stadium, Karachi",England,Pakistan,57,1,111,2,53,0,221,3,Pakistan,field,Karachi,England,England tour of Pakistan
662,1327230B,2022,"National Stadium, Karachi",Pakistan,England,29,4,98,1,31,3,158,8,Pakistan,field,Karachi,England,England tour of Pakistan
663,1344783A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Canada,47,1,91,2,57,3,195,6,Canada,field,Al Amarat,Canada,Desert Cup T20I Series
663,1344783B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Bahrain,43,0,103,4,53,1,199,5,Canada,field,Al Amarat,Canada,Desert Cup T20I Series
664,527013A,2011,Harare Sports Club,New Zealand,Zimbabwe,53,0,118,1,16,2,187,3,Zimbabwe,field,,New Zealand,New Zealand in Zimbabwe T20I Series
664,527013B,2011,Harare Sports Club,Zimbabwe,New Zealand,57,2,94,4,3,4,154,10,Zimbabwe,field,,New Zealand,New Zealand in Zimbabwe T20I Series
665,258463A,2007,Kennington Oval,West Indies,England,62,1,108,3,38,4,208,8,West Indies,bat,London,West Indies,West Indies in England T20I Series
665,258463B,2007,Kennington Oval,England,West Indies,54,2,95,3,44,1,193,6,West Indies,bat,London,West Indies,West Indies in England T20I Series
666,1298165A,2022,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,Ireland,38,1,107,2,34,2,179,5,Ireland,field,Brisbane,Australia,ICC Men's T20 World Cup
666,1298165B,2022,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Ireland,Australia,49,5,69,3,19,2,137,10,Ireland,field,Brisbane,Australia,ICC Men's T20 World Cup
667,1186491A,2019,Kinrara Academy Oval,Thailand,Malaysia,36,2,54,1,37,1,127,4,Thailand,bat,Kuala Lumpur,Malaysia,Malaysia Tri-Nation T20I Series
667,1186491B,2019,Kinrara Academy Oval,Malaysia,Thailand,57,1,72,1,0,0,129,2,Thailand,bat,Kuala Lumpur,Malaysia,Malaysia Tri-Nation T20I Series
668,1298171A,2022,Adelaide Oval,New Zealand,Ireland,52,1,88,2,45,1,185,4,Ireland,field,Adelaide,New Zealand,ICC Men's T20 World Cup
668,1298171B,2022,Adelaide Oval,Ireland,New Zealand,39,0,79,5,32,4,150,9,Ireland,field,Adelaide,New Zealand,ICC Men's T20 World Cup
669,1280058A,2021,"ICC Academy, Dubai",Scotland,Namibia,27,3,69,3,41,2,137,8,Namibia,field,Dubai,Namibia,Namibia v Scotland T20I Match
669,1280058B,2021,"ICC Academy, Dubai",Namibia,Scotland,52,1,70,3,16,0,138,4,Namibia,field,Dubai,Namibia,Namibia v Scotland T20I Match
670,1172510A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Scotland,17,4,59,1,35,3,111,8,Scotland,field,Al Amarat,Scotland,Oman Quadrangular T20I Series
670,1172510B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Oman,35,2,80,1,0,0,115,3,Scotland,field,Al Amarat,Scotland,Oman Quadrangular T20I Series
671,566926A,2013,Kennington Oval,New Zealand,England,54,1,108,2,39,1,201,4,England,field,London,New Zealand,New Zealand in England T20I Series
671,566926B,2013,Kennington Oval,England,New Zealand,67,1,81,3,48,1,196,5,England,field,London,New Zealand,New Zealand in England T20I Series
672,636165A,2014,Melbourne Cricket Ground,England,Australia,48,3,51,3,31,2,130,8,England,bat,,Australia,England in Australia T20I Series
672,636165B,2014,Melbourne Cricket Ground,Australia,England,50,0,81,1,0,0,131,1,England,bat,,Australia,England in Australia T20I Series
673,1074968A,2017,Dubai International Cricket Stadium,Oman,Scotland,33,1,62,3,38,4,133,8,Oman,bat,,Scotland,Desert T20 Challenge
673,1074968B,2017,Dubai International Cricket Stadium,Scotland,Oman,41,0,67,1,26,1,134,2,Oman,bat,,Scotland,Desert T20 Challenge
674,225271A,2006,The Rose Bowl,Sri Lanka,England,58,0,79,6,26,3,163,9,Sri Lanka,bat,Southampton,Sri Lanka,
674,225271B,2006,The Rose Bowl,England,Sri Lanka,49,0,71,4,41,1,161,5,Sri Lanka,bat,Southampton,Sri Lanka,
675,1273715A,2021,"Zayed Cricket Stadium, Abu Dhabi",Namibia,Sri Lanka,30,2,55,2,11,3,96,7,Sri Lanka,field,Abu Dhabi,Sri Lanka,ICC Men's T20 World Cup
675,1273715B,2021,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,Namibia,37,2,63,0,0,0,100,2,Sri Lanka,field,Abu Dhabi,Sri Lanka,ICC Men's T20 World Cup
676,412686A,2010,Providence Stadium,Sri Lanka,Zimbabwe,59,1,78,3,36,3,173,7,Sri Lanka,bat,Guyana,Sri Lanka,ICC World Twenty20
676,412686B,2010,Providence Stadium,Zimbabwe,Sri Lanka,29,1,0,0,0,0,29,1,Sri Lanka,bat,Guyana,Sri Lanka,ICC World Twenty20
677,412692A,2010,"Kensington Oval, Bridgetown",Sri Lanka,West Indies,47,1,95,0,53,2,195,3,Sri Lanka,bat,Barbados,Sri Lanka,ICC World Twenty20
677,412692B,2010,"Kensington Oval, Bridgetown",West Indies,Sri Lanka,41,2,64,3,33,1,138,6,Sri Lanka,bat,Barbados,Sri Lanka,ICC World Twenty20
678,913663A,2016,Old Trafford,England,Pakistan,53,0,57,5,25,1,135,6,England,bat,Manchester,Pakistan,
678,913663B,2016,Old Trafford,Pakistan,England,73,0,66,1,0,0,139,1,England,bat,Manchester,Pakistan,
679,1273729A,2021,Dubai International Cricket Stadium,West Indies,South Africa,43,0,68,3,32,5,143,8,South Africa,field,Dubai,South Africa,ICC Men's T20 World Cup
679,1273729B,2021,Dubai International Cricket Stadium,South Africa,West Indies,42,1,79,1,23,0,144,2,South Africa,field,Dubai,South Africa,ICC Men's T20 World Cup
680,1197403A,2019,Bermuda National Stadium,United States of America,Bermuda,39,2,68,4,34,2,141,8,Bermuda,field,Hamilton,Bermuda,ICC Men's T20 World Cup Americas Region Final
680,1197403B,2019,Bermuda National Stadium,Bermuda,United States of America,45,2,72,3,25,1,142,6,Bermuda,field,Hamilton,Bermuda,ICC Men's T20 World Cup Americas Region Final
681,931398A,2015,Shere Bangla National Stadium,Bangladesh,Zimbabwe,38,2,75,1,22,5,135,8,Bangladesh,bat,Mirpur,Zimbabwe,Zimbabwe in Bangladesh T20I Series
681,931398B,2015,Shere Bangla National Stadium,Zimbabwe,Bangladesh,25,3,74,3,37,1,136,7,Bangladesh,bat,Mirpur,Zimbabwe,Zimbabwe in Bangladesh T20I Series
682,1251577A,2021,"SuperSport Park, Centurion",South Africa,Pakistan,65,0,93,3,45,1,203,4,Pakistan,field,Centurion,Pakistan,Pakistan tour of South Africa
682,1251577B,2021,"SuperSport Park, Centurion",Pakistan,South Africa,64,0,117,0,24,1,205,1,Pakistan,field,Centurion,Pakistan,Pakistan tour of South Africa
683,355999A,2009,Lord's,Pakistan,Netherlands,50,1,80,2,45,2,175,5,Pakistan,bat,London,Pakistan,ICC World Twenty20
683,355999B,2009,Lord's,Netherlands,Pakistan,37,1,50,7,6,2,93,10,Pakistan,bat,London,Pakistan,ICC World Twenty20
684,1072316A,2018,Sydney Cricket Ground,New Zealand,Australia,29,3,61,3,27,3,117,9,Australia,field,,Australia,Trans-Tasman Twenty20 Trophy
684,1072316B,2018,Sydney Cricket Ground,Australia,New Zealand,43,2,53,1,0,0,96,3,Australia,field,,Australia,Trans-Tasman Twenty20 Trophy
685,412679A,2010,"Beausejour Stadium, Gros Islet",Afghanistan,India,29,3,66,0,20,5,115,8,India,field,St Lucia,India,ICC World Twenty20
685,412679B,2010,"Beausejour Stadium, Gros Islet",India,Afghanistan,47,1,69,1,0,0,116,2,India,field,St Lucia,India,ICC World Twenty20
686,456991A,2010,Central Broward Regional Park Stadium Turf Ground,New Zealand,Sri Lanka,33,2,61,3,26,2,120,7,New Zealand,bat,Lauderhill,New Zealand,New Zealand v Sri Lanka T20I Series
686,456991B,2010,Central Broward Regional Park Stadium Turf Ground,Sri Lanka,New Zealand,25,2,47,4,20,4,92,10,New Zealand,bat,Lauderhill,New Zealand,New Zealand v Sri Lanka T20I Series
687,1273271A,2021,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,Zimbabwe,32,3,76,1,33,1,141,5,Scotland,bat,Edinburgh,Scotland,Zimbabwe tour of Ireland and Scotland
687,1273271B,2021,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Zimbabwe,Scotland,31,2,78,1,25,5,134,8,Scotland,bat,Edinburgh,Scotland,Zimbabwe tour of Ireland and Scotland
688,1133821A,2018,"R.Premadasa Stadium, Khettarama",India,Bangladesh,49,0,77,1,50,2,176,3,Bangladesh,field,Colombo,India,Nidahas Trophy
688,1133821B,2018,"R.Premadasa Stadium, Khettarama",Bangladesh,India,48,3,72,1,39,2,159,6,Bangladesh,field,Colombo,India,Nidahas Trophy
689,1263710A,2021,"Scott Page Field, Vinor",Austria,Czech Republic,45,1,77,1,40,3,162,5,Czech Republic,field,Prague,Austria,Central Europe Cup
689,1263710B,2021,"Scott Page Field, Vinor",Czech Republic,Austria,24,4,57,3,3,2,84,9,Czech Republic,field,Prague,Austria,Central Europe Cup
690,1321279A,2022,Tikkurila Cricket Ground,Romania,Sweden,30,2,49,1,25,5,104,8,Romania,bat,Vantaa,Sweden,ICC Men's T20 World Cup Sub Regional Europe Qualifier
690,1321279B,2022,Tikkurila Cricket Ground,Sweden,Romania,41,2,65,0,0,0,106,2,Romania,bat,Vantaa,Sweden,ICC Men's T20 World Cup Sub Regional Europe Qualifier
691,1322002A,2022,"UKM-YSD Cricket Oval, Bangi",Bhutan,Maldives,41,1,49,3,20,2,110,6,Maldives,field,Bangi,Bhutan,Quadrangular Twenty20 Series (Malaysia)
691,1322002B,2022,"UKM-YSD Cricket Oval, Bangi",Maldives,Bhutan,30,3,48,2,26,1,104,6,Maldives,field,Bangi,Bhutan,Quadrangular Twenty20 Series (Malaysia)
692,1317907A,2022,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",India,West Indies,53,1,93,3,42,2,188,6,India,bat,Lauderhill,India,West Indies v India T20I Series
692,1317907B,2022,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",West Indies,India,38,3,62,4,0,0,100,7,India,bat,Lauderhill,India,West Indies v India T20I Series
693,1321286A,2022,Kerava National Cricket Ground,Austria,Slovenia,62,2,102,2,50,0,214,4,Slovenia,field,Kerava,Austria,ICC Men's T20 World Cup Sub Regional Europe Qualifier
693,1321286B,2022,Kerava National Cricket Ground,Slovenia,Austria,27,1,41,5,5,2,73,8,Slovenia,field,Kerava,Austria,ICC Men's T20 World Cup Sub Regional Europe Qualifier
694,1318361A,2022,Bayer Uerdingen Cricket Ground,Austria,Sweden,37,1,59,2,37,2,133,5,Sweden,field,Krefeld,Austria,Germany T20 Tri-Series
694,1318361B,2022,Bayer Uerdingen Cricket Ground,Sweden,Austria,34,2,68,3,30,1,132,6,Sweden,field,Krefeld,Austria,Germany T20 Tri-Series
695,1215137A,2020,Kinrara Academy Oval,Malaysia,Hong Kong,45,1,68,3,25,2,138,6,Malaysia,bat,Kuala Lumpur,Malaysia,Hong Kong tour of Malaysia
695,1215137B,2020,Kinrara Academy Oval,Hong Kong,Malaysia,21,4,64,4,18,0,103,8,Malaysia,bat,Kuala Lumpur,Malaysia,Hong Kong tour of Malaysia
696,1019979A,2017,McLean Park,Bangladesh,New Zealand,34,4,66,2,41,2,141,8,Bangladesh,bat,Napier,New Zealand,Bangladesh in New Zealand T20I Series
696,1019979B,2017,McLean Park,New Zealand,Bangladesh,43,2,82,2,18,0,143,4,Bangladesh,bat,Napier,New Zealand,Bangladesh in New Zealand T20I Series
697,1321292A,2022,Kerava National Cricket Ground,France,Norway,44,2,87,1,27,5,158,8,France,bat,Kerava,France,ICC Men's T20 World Cup Sub Regional Europe Qualifier
697,1321292B,2022,Kerava National Cricket Ground,Norway,France,44,2,78,3,25,5,147,10,France,bat,Kerava,France,ICC Men's T20 World Cup Sub Regional Europe Qualifier
698,1216416A,2020,Greater Noida Sports Complex Ground,Ireland,Afghanistan,63,1,72,2,37,3,172,6,Ireland,bat,Greater Noida,Afghanistan,Ireland tour of India
698,1216416B,2020,Greater Noida Sports Complex Ground,Afghanistan,Ireland,58,2,75,2,0,0,133,4,Ireland,bat,Greater Noida,Afghanistan,Ireland tour of India
699,1282275A,2021,Marsa Sports Club,Bulgaria,Switzerland,23,3,40,4,18,2,81,9,Bulgaria,bat,Marsa,Switzerland,Valletta Cup
699,1282275B,2021,Marsa Sports Club,Switzerland,Bulgaria,82,2,0,0,0,0,82,2,Bulgaria,bat,Marsa,Switzerland,Valletta Cup
700,966765A,2016,Shere Bangla National Stadium,Bangladesh,India,35,1,85,3,0,0,120,4,India,field,Mirpur,India,Asia Cup
700,966765B,2016,Shere Bangla National Stadium,India,Bangladesh,48,1,74,1,0,0,122,2,India,field,Mirpur,India,Asia Cup
701,1153696A,2019,Westpac Stadium,New Zealand,India,66,0,103,4,50,2,219,6,India,field,Wellington,New Zealand,India tour of New Zealand
701,1153696B,2019,Westpac Stadium,India,New Zealand,53,2,65,4,21,4,139,10,India,field,Wellington,New Zealand,India tour of New Zealand
702,895821A,2016,Sydney Cricket Ground,Australia,India,57,1,92,2,48,2,197,5,Australia,bat,,India,India in Australia T20I Series
702,895821B,2016,Sydney Cricket Ground,India,Australia,74,1,82,2,44,0,200,3,Australia,bat,,India,India in Australia T20I Series
703,1321284A,2022,Kerava National Cricket Ground,France,Czech Republic,29,0,90,1,34,5,153,6,Czech Republic,field,Kerava,France,ICC Men's T20 World Cup Sub Regional Europe Qualifier
703,1321284B,2022,Kerava National Cricket Ground,Czech Republic,France,37,1,49,5,16,3,102,9,Czech Republic,field,Kerava,France,ICC Men's T20 World Cup Sub Regional Europe Qualifier
704,966759A,2016,Shere Bangla National Stadium,Pakistan,Bangladesh,20,2,71,1,38,3,129,6,Pakistan,bat,Mirpur,Bangladesh,Asia Cup
704,966759B,2016,Shere Bangla National Stadium,Bangladesh,Pakistan,34,0,61,2,36,1,131,3,Pakistan,bat,Mirpur,Bangladesh,Asia Cup
705,1321290A,2022,Kerava National Cricket Ground,Switzerland,Estonia,20,1,96,2,57,0,173,3,Switzerland,bat,Kerava,Switzerland,ICC Men's T20 World Cup Sub Regional Europe Qualifier
705,1321290B,2022,Kerava National Cricket Ground,Estonia,Switzerland,21,3,83,0,38,0,142,3,Switzerland,bat,Kerava,Switzerland,ICC Men's T20 World Cup Sub Regional Europe Qualifier
706,1158072A,2019,"Warner Park, St Kitts",England,West Indies,39,4,75,1,68,1,182,6,West Indies,field,Basseterre,England,England tour of West Indies
706,1158072B,2019,"Warner Park, St Kitts",West Indies,England,25,5,20,4,0,0,45,9,West Indies,field,Basseterre,England,England tour of West Indies
707,1317905A,2022,"Warner Park, Basseterre, St Kitts",West Indies,India,45,0,77,2,42,3,164,5,India,field,Basseterre,India,India tour of West Indies
707,1317905B,2022,"Warner Park, Basseterre, St Kitts",India,West Indies,56,1,84,2,25,1,165,4,India,field,Basseterre,India,India tour of West Indies
708,1273273A,2021,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,Zimbabwe,50,1,72,2,55,1,177,4,Scotland,bat,Edinburgh,Zimbabwe,Zimbabwe tour of Ireland and Scotland
708,1273273B,2021,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Zimbabwe,Scotland,47,0,75,3,58,1,180,4,Scotland,bat,Edinburgh,Zimbabwe,Zimbabwe tour of Ireland and Scotland
709,426723A,2009,Dubai International Cricket Stadium,Pakistan,New Zealand,35,1,89,4,37,3,161,8,New Zealand,field,,Pakistan,Pakistan v New Zealand T20I Series
709,426723B,2009,Dubai International Cricket Stadium,New Zealand,Pakistan,40,3,55,3,17,3,112,9,New Zealand,field,,Pakistan,Pakistan v New Zealand T20I Series
710,1263712A,2021,"Scott Page Field, Vinor",Austria,Luxembourg,43,2,96,0,40,3,179,5,Austria,bat,Prague,Luxembourg,Central Europe Cup
710,1263712B,2021,"Scott Page Field, Vinor",Luxembourg,Austria,57,1,83,3,40,1,180,5,Austria,bat,Prague,Luxembourg,Central Europe Cup
711,1133823A,2018,"R.Premadasa Stadium, Khettarama",Bangladesh,India,40,3,80,2,46,3,166,8,India,field,Colombo,India,Nidahas Trophy
711,1133823B,2018,"R.Premadasa Stadium, Khettarama",India,Bangladesh,56,2,67,2,45,2,168,6,India,field,Colombo,India,Nidahas Trophy
712,1307294A,2022,"R Premadasa Stadium, Colombo",Sri Lanka,Australia,28,2,71,2,25,5,124,9,Australia,field,Colombo,Australia,Australia tour of Sri Lanka
712,1307294B,2022,"R Premadasa Stadium, Colombo",Australia,Sri Lanka,63,1,53,4,10,0,126,5,Australia,field,Colombo,Australia,Australia tour of Sri Lanka
713,1127301A,2018,"Grange Cricket Club, Raeburn Place",Pakistan,Scotland,54,0,64,5,48,1,166,6,Pakistan,bat,Edinburgh,Pakistan,"""Pakistan tour of Ireland"
713,1127301B,2018,"Grange Cricket Club, Raeburn Place",Scotland,Pakistan,30,3,52,7,0,0,82,10,Pakistan,bat,Edinburgh,Pakistan,"""Pakistan tour of Ireland"
714,587476A,2012,Shere Bangla National Stadium,West Indies,Bangladesh,43,2,94,2,60,0,197,4,West Indies,bat,Mirpur,West Indies,
714,587476B,2012,Shere Bangla National Stadium,Bangladesh,West Indies,58,1,81,0,40,0,179,1,West Indies,bat,Mirpur,West Indies,
715,1278681A,2022,"Eden Gardens, Kolkata",India,West Indies,43,1,72,3,69,1,184,5,West Indies,field,Kolkata,India,West Indies tour of India
715,1278681B,2022,"Eden Gardens, Kolkata",West Indies,India,68,2,66,4,33,3,167,9,West Indies,field,Kolkata,India,West Indies tour of India
716,1251575A,2021,"The Wanderers Stadium, Johannesburg",South Africa,Pakistan,48,1,111,1,29,2,188,4,South Africa,bat,Johannesburg,Pakistan,Pakistan tour of South Africa
716,1251575B,2021,"The Wanderers Stadium, Johannesburg",Pakistan,South Africa,48,1,89,3,52,1,189,5,South Africa,bat,Johannesburg,Pakistan,Pakistan tour of South Africa
717,1282739A,2021,"Desert Springs Cricket Ground, Almeria",Denmark,Italy,26,2,50,4,24,3,100,9,Denmark,bat,Almeria,Italy,ICC Men's T20 World Cup Europe Region Qualifier
717,1282739B,2021,"Desert Springs Cricket Ground, Almeria",Italy,Denmark,33,1,56,3,12,0,101,4,Denmark,bat,Almeria,Italy,ICC Men's T20 World Cup Europe Region Qualifier
718,1252068A,2021,"Coolidge Cricket Ground, Antigua",Sri Lanka,West Indies,27,3,68,1,36,0,131,4,Sri Lanka,bat,Coolidge,West Indies,Sri Lanka tour of West Indies
718,1252068B,2021,"Coolidge Cricket Ground, Antigua",West Indies,Sri Lanka,53,0,45,4,36,2,134,6,Sri Lanka,bat,Coolidge,West Indies,Sri Lanka tour of West Indies
719,1197401A,2019,"White Hill Field, Sandys Parish",United States of America,Canada,53,1,56,3,35,2,144,6,United States of America,bat,Hamilton,Canada,ICC Men's T20 World Cup Americas Region Final
719,1197401B,2019,"White Hill Field, Sandys Parish",Canada,United States of America,50,2,62,2,33,1,145,5,United States of America,bat,Hamilton,Canada,ICC Men's T20 World Cup Americas Region Final
720,412684A,2010,Providence Stadium,Zimbabwe,New Zealand,54,1,30,8,0,0,84,9,New Zealand,field,Guyana,New Zealand,ICC World Twenty20
720,412684B,2010,Providence Stadium,New Zealand,Zimbabwe,26,1,10,0,0,0,36,1,New Zealand,field,Guyana,New Zealand,ICC World Twenty20
721,1273717A,2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Oman,29,1,91,2,33,6,153,9,Bangladesh,bat,Al Amarat,Bangladesh,ICC Men's T20 World Cup
721,1273717B,2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Bangladesh,47,1,57,3,23,4,127,8,Bangladesh,bat,Al Amarat,Bangladesh,ICC Men's T20 World Cup
722,1153319A,2018,"Shere Bangla National Stadium, Mirpur",West Indies,Bangladesh,88,1,88,3,14,5,190,9,Bangladesh,field,Dhaka,West Indies,West Indies tour of Bangladesh
722,1153319B,2018,"Shere Bangla National Stadium, Mirpur",Bangladesh,West Indies,70,4,60,5,10,1,140,10,Bangladesh,field,Dhaka,West Indies,West Indies tour of Bangladesh
723,1122286A,2018,SuperSport Park,India,South Africa,45,2,88,0,55,0,188,2,South Africa,field,Centurion,South Africa,India tour of South Africa
723,1122286B,2018,SuperSport Park,South Africa,India,50,2,106,2,33,0,189,4,South Africa,field,Centurion,South Africa,India tour of South Africa
724,406197A,2010,Bellerive Oval,Australia,West Indies,58,0,73,6,48,2,179,8,Australia,bat,Hobart,Australia,West Indies in Australia T20I Series
724,406197B,2010,Bellerive Oval,West Indies,Australia,40,4,70,2,31,2,141,8,Australia,bat,Hobart,Australia,West Indies in Australia T20I Series
725,1192223A,2019,Kinrara Academy Oval,Malaysia,Nepal,43,1,56,2,29,6,128,9,Malaysia,bat,Kuala Lumpur,Nepal,Nepal tour of Malaysia
725,1192223B,2019,Kinrara Academy Oval,Nepal,Malaysia,37,1,70,1,22,0,129,2,Malaysia,bat,Kuala Lumpur,Nepal,Nepal tour of Malaysia
726,1207082A,2020,Desert Springs Cricket Ground,Germany,Spain,34,0,95,2,51,1,180,3,Spain,field,Almeria,Germany,Germany tour of Spain
726,1207082B,2020,Desert Springs Cricket Ground,Spain,Germany,43,0,67,3,12,2,122,5,Spain,field,Almeria,Germany,Germany tour of Spain
727,412690A,2010,"Kensington Oval, Bridgetown",South Africa,New Zealand,48,1,71,2,51,1,170,4,South Africa,bat,Barbados,South Africa,ICC World Twenty20
727,412690B,2010,"Kensington Oval, Bridgetown",New Zealand,South Africa,39,1,78,4,40,1,157,6,South Africa,bat,Barbados,South Africa,ICC World Twenty20
728,1328854A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Hong Kong,45,1,71,2,31,5,147,8,Hong Kong,field,Al Amarat,Hong Kong,Men's T20 Asia Cup Qualifier
728,1328854B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,United Arab Emirates,51,0,65,1,33,1,149,2,Hong Kong,field,Al Amarat,Hong Kong,Men's T20 Asia Cup Qualifier
729,1289042A,2021,Gahanga International Cricket Stadium. Rwanda,Nigeria,Tanzania,34,1,48,3,32,3,114,7,Nigeria,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Africa Region Qualifier
729,1289042B,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Nigeria,42,3,75,1,0,0,117,4,Nigeria,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Africa Region Qualifier
730,546410A,2012,Dubai International Cricket Stadium,Netherlands,Canada,37,2,61,3,37,1,135,6,Netherlands,bat,,Netherlands,ICC World Twenty20 Qualifier
730,546410B,2012,Dubai International Cricket Stadium,Canada,Netherlands,24,2,62,5,7,1,93,8,Netherlands,bat,,Netherlands,ICC World Twenty20 Qualifier
731,1298167A,2022,"Brisbane Cricket Ground, Woolloongabba, Brisbane",England,New Zealand,48,0,89,2,42,3,179,5,England,bat,Brisbane,England,ICC Men's T20 World Cup
731,1298167B,2022,"Brisbane Cricket Ground, Woolloongabba, Brisbane",New Zealand,England,40,2,86,2,33,2,159,6,England,bat,Brisbane,England,ICC Men's T20 World Cup
732,1172506A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Oman,46,1,82,2,31,2,159,5,Oman,field,Al Amarat,Ireland,Oman Quadrangular T20I Series
732,1172506B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Ireland,50,2,60,5,34,1,144,8,Oman,field,Al Amarat,Ireland,Oman Quadrangular T20I Series
733,1298173A,2022,Sydney Cricket Ground,Sri Lanka,England,54,1,66,3,21,4,141,8,Sri Lanka,bat,Sydney,England,ICC Men's T20 World Cup
733,1298173B,2022,Sydney Cricket Ground,England,Sri Lanka,70,0,51,5,23,1,144,6,Sri Lanka,bat,Sydney,England,ICC Men's T20 World Cup
734,1186493A,2019,Kinrara Academy Oval,Maldives,Thailand,65,1,57,4,31,1,153,6,Thailand,field,Kuala Lumpur,Thailand,Malaysia Tri-Nation T20I Series
734,1186493B,2019,Kinrara Academy Oval,Thailand,Maldives,55,1,61,3,38,1,154,5,Thailand,field,Kuala Lumpur,Thailand,Malaysia Tri-Nation T20I Series
735,1276914A,2022,"Sophia Gardens, Cardiff",South Africa,England,58,1,112,2,37,0,207,3,England,field,Cardiff,South Africa,South Africa tour of England
735,1276914B,2022,"Sophia Gardens, Cardiff",England,South Africa,53,2,95,6,1,2,149,10,England,field,Cardiff,South Africa,South Africa tour of England
736,727917A,2014,Dubai International Cricket Stadium,Pakistan,Australia,32,3,39,4,25,1,96,8,Pakistan,bat,,Australia,
736,727917B,2014,Dubai International Cricket Stadium,Australia,Pakistan,40,1,57,2,0,0,97,3,Pakistan,bat,,Australia,
737,1273139A,2021,Gucherre Cricket Ground,Portugal,Gibraltar,68,1,98,2,52,3,218,6,Gibraltar,field,Albergaria,Portugal,Portugal T20 Tri-Series
737,1273139B,2021,Gucherre Cricket Ground,Gibraltar,Portugal,39,4,53,2,16,2,108,8,Gibraltar,field,Albergaria,Portugal,Portugal T20 Tri-Series
